sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","savedsearch_name","search_et","api_lt","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_savedsearch_name","__mv_search_et","__mv_api_lt","__mv_search_lt"
"rt_1442800095.3","| metadata type=sourcetypes | search totalCount > 0","search-head1","1442800095.123742",1,0,1442800095,0,0,canceled,"73.035000",,,,,,,,,,,,,,,,,,,,,
"1442800151.4","| eventcount list_vix=false summarize=false index=* index=_* | dedup index","search-head1","1442800151.606046",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1442800181.5","| metadata type=sourcetypes | search totalCount > 0","search-head1","1442800181.308051",1,0,1442800181,0,0,canceled,"93.041000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800182.6","| metadata type=sources | search totalCount > 0 | table source totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800182.677514",1,0,1442800182,0,0,canceled,"40.062000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800182.7","| metadata type=hosts | search totalCount > 0 | table host totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800182.678232",1,0,1442800182,0,0,canceled,"40.054000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800182.8","| metadata type=sourcetypes | search totalCount > 0 | table sourcetype totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800182.686297",1,0,1442800182,0,0,canceled,"40.067000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800345.9","| metadata type=sourcetypes | search totalCount > 0","search-head1","1442800345.585002",1,0,1442800345,0,0,canceled,"57.032000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800346.10","| metadata type=sources | search totalCount > 0 | table source totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800346.616496",1,0,1442800346,0,0,canceled,"8.077000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800346.11","| metadata type=hosts | search totalCount > 0 | table host totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800346.637666",1,0,1442800346,0,0,canceled,"8.067000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800346.12","| metadata type=sourcetypes | search totalCount > 0 | table sourcetype totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800346.639327",1,0,1442800346,0,0,canceled,"8.066000",,,,,,,,,,,,,,,,,,,,,
